"segmentid","templateid","storeid","name","description","type","statusend","createdat","customerid","sendat"
"9e2c65a1-05bc-4896-902f-e3bec38ca1b9","cfbb9c54-6131-4ede-b394-6cfd2b5b407e","01ac4ec3-f7e0-451d-ab31-2db1799816ca","Promover almoço","Campanha para promover almoço",1,2,"2025-07-18 21:24:02.83-03","d6eb7af9-9071-4342-93e6-b2b559538288","2025-08-01 11:15:53.997-03"
"d7f18a0d-7bcb-49c0-b44d-86dce7d12578","0807ac90-8501-4faf-abaf-f81c4bb8451d","8cc52834-d064-4c6a-8e08-8f33d4811872","COMBO FAMILIA","COMBO FAMILIA",1,2,"2025-12-02 19:08:22.588-03","7bb6b09c-93a8-4702-bd15-07d1a29ea119","2025-12-18 18:38:19.002-03"
"8cfa67af-83af-4c2a-b61e-4ad80be6e261","59905afd-f186-4d77-81c2-aa2e2820b7f3","0d860437-8f2f-4437-a866-811bd07ac367","Clientes com 1 pedido ","",1,2,"2025-12-01 22:24:24.701-03","4ea8e93c-071c-4e36-a04a-040c070fef38","2026-01-18 20:03:39.257-03"
"3af992cf-5e55-488a-959d-f5b3e8f15a72","614bc2c3-f7af-496c-b869-ba2b8f926815","fd5bc963-ff69-40c4-b5d8-1709e233fe02","Campanha para clientes 30+ sem pedir","Campanha para clientes 30+ sem pedir",1,2,"2025-10-08 20:02:34.216-03","d9afa894-6618-48f4-a8c1-cd076db594e3","2025-12-13 13:18:57.647-03"
"7e433960-aac5-40eb-bd57-8049179d1fe0","88b215af-a945-4789-9136-6238c9d314fe","0d860437-8f2f-4437-a866-811bd07ac367","Clientes +30 dias sem pedi","",1,2,"2025-12-01 22:25:23.106-03","249c8d04-2748-4220-a00f-27cb6c5f0719","2025-12-18 20:14:36.252-03"
"3bcd7e20-3844-42c0-a0ff-38d04520f4e2","3b564226-6ed3-4fdf-999f-98c868b0a2cf","0d860437-8f2f-4437-a866-811bd07ac367","Clientes recentes -30d","",1,2,"2025-12-01 22:24:56.487-03","3d386b27-ae2f-4e91-b915-eb02edab1d20","2025-12-18 22:03:08.134-03"
"d7f18a0d-7bcb-49c0-b44d-86dce7d12578","0807ac90-8501-4faf-abaf-f81c4bb8451d","8cc52834-d064-4c6a-8e08-8f33d4811872","COMBO FAMILIA","COMBO FAMILIA",1,2,"2025-12-02 19:08:22.588-03","a9fcb68e-be1a-42a9-917f-3cbce7651d2a","2025-12-12 18:35:49.517-03"
"a07d7ddb-a162-4854-b1e2-10fe72b34477","2b248c67-59d9-4b29-93f1-357901f69895","b6bc362f-cb27-44ac-a9c8-5e9b08263f86","Campanha de Divulgação de Almoço","Aumentar pedidos no período de almoço da semana passada (exceto iFood).",1,7,"2025-08-18 16:23:37.279-03","418c9fb5-3946-45d3-a32a-4dba469baa43","2025-08-21 16:25:50.466-03"
"88fb145f-e032-46e0-a13c-65deb1d6c747","fc9539ed-6777-4178-b26f-52aaa9c871d7","b6bc362f-cb27-44ac-a9c8-5e9b08263f86","1 pedido (ESFIHADOCE10)","1 pedido (ESFIHADOCE10)",1,2,"2025-12-03 19:25:55.953-03","394d7958-c097-460b-8f36-464a16ff745a","2026-01-03 20:12:18.865-03"
"3bcd7e20-3844-42c0-a0ff-38d04520f4e2","3b564226-6ed3-4fdf-999f-98c868b0a2cf","0d860437-8f2f-4437-a866-811bd07ac367","Clientes recentes -30d","",1,2,"2025-12-01 22:24:56.487-03","3867bbf9-a9a1-4612-a746-294b63c6ba0a","2025-12-18 19:53:01.134-03"
"27cbffbd-1a6d-4cce-9130-6ed3de1c8eb8","60166d83-fc24-4e8e-8524-2f2c5562140b","fd5bc963-ff69-40c4-b5d8-1709e233fe02","Campanhas clientes 14 dias sem pedir","Campanhas clientes 14 dias sem pedir",1,2,"2025-09-17 10:57:48.088-03","617791ad-d3ce-464d-af73-d2b83ad3024f","2025-12-13 12:44:29.837-03"
"77281daf-3110-4af3-80bf-87ffb4163173","4b28a40f-dfcb-4f91-88ed-c31756953b9f","0c02619d-0c57-492d-9660-dd0f357a2f0c","Cliente há 56 dias sem pedir - ESFIHADOCE10","Cliente há 56 dias sem pedir - ESFIHADOCE10",1,7,"2025-12-03 15:51:43.196-03","20aab60f-74dc-4e78-aefd-fb7a36f887a4","2025-12-13 13:20:05.603-03"
"c7ad31f0-89ac-48f4-8368-09528e544923","727b8f13-af55-4d27-b7e0-452fc97bf2d3","21e1a735-bfd6-40b6-bbe1-35889f94fadb","Campanha - Clientes Inativos","Campanha - Clientes Inativos",1,2,"2025-12-03 12:55:14.548-03","b807214d-8ba5-4899-a98c-c030743c8cd1","2026-01-15 18:06:20.547-03"
"27cbffbd-1a6d-4cce-9130-6ed3de1c8eb8","60166d83-fc24-4e8e-8524-2f2c5562140b","fd5bc963-ff69-40c4-b5d8-1709e233fe02","Campanhas clientes 14 dias sem pedir","Campanhas clientes 14 dias sem pedir",1,2,"2025-09-17 10:57:48.088-03","78ced34d-18e3-482f-9b11-ac16daa66906","2025-12-13 20:26:03.837-03"
"e8485825-d746-45c7-8e18-018286155b64","26b82feb-bf07-4933-aeda-23ef65a15dd4","8cc52834-d064-4c6a-8e08-8f33d4811872","COMBO BRUTÃO","BRUTÃO",1,2,"2025-11-13 10:47:02.699-03","e457b3dc-d2f2-4ef6-ba1e-339fc483489c","2025-12-12 18:37:11.813-03"
"6519f99f-a7af-4441-b79e-fc68d25cb7c5","decff29f-a363-43c9-9947-4f83a87646db","21e1a735-bfd6-40b6-bbe1-35889f94fadb","Campanha - Clientes Potenciais","Campanha - Clientes Potenciais",1,2,"2025-12-03 12:54:06.186-03","2e8d2487-fff4-47d7-ad81-70ff5c35b369","2026-01-15 18:07:16.264-03"
"9e2c65a1-05bc-4896-902f-e3bec38ca1b9","cfbb9c54-6131-4ede-b394-6cfd2b5b407e","01ac4ec3-f7e0-451d-ab31-2db1799816ca","Promover almoço","Campanha para promover almoço",1,2,"2025-07-18 21:24:02.83-03","2d3724a6-f89e-4c29-a396-537eb29a228d","2025-08-05 09:11:43.007-03"
